"isolate__autocolour","ST__autocolour","Serotype__autocolour","SRA__autocolour","Biosample__autocolour","benchmark_included__autocolour","stx_profile__autocolour","stx_count__autocolour","plasmid_profile__autocolour","plasmid_count__autocolour","ST_plot__autocolour","Serotype_plot__autocolour","plasmid_profile_plot__autocolour","stx_profile_plot__autocolour"
"GCF_029318975.1_ASM2931897v1","410","O180:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029319035.1_ASM2931903v1","410","O180:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029319085.1_ASM2931908v1","101","O15:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029536615.1_ASM2953661v1","141","O2:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029536635.1_ASM2953663v1","105","O88:H14",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029536655.1_ASM2953665v1","697","O88:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029536675.1_ASM2953667v1","93","O11:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029536695.1_ASM2953669v1","372","O83:H31",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029537195.1_ASM2953719v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029542125.1_ASM2954212v1","4538","O5:H20",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029542525.1_ASM2954252v1","998","O2:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029590495.1_ASM2959049v1","11","O157:H7","SRR23929852","SAMN15296135","yes","stx1a",1,"26; 20",2,"11","O157:H7","Other","Other"
"GCF_029623635.1_ASM2962363v1","-","O77/O17/O44/O106:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029625095.1_ASM2962509v1","457","O11:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029625115.1_ASM2962511v1","101","O15:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029625135.1_ASM2962513v1","5487","O42/O28:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029625155.1_ASM2962515v1","457","O11:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029625175.1_ASM2962517v1","10","-:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029625195.1_ASM2962519v1","457","O11:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029625455.1_ASM2962545v1","457","O11:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029635575.1_ASM2963557v1","23","O145:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029635835.1_ASM2963583v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029635865.1_ASM2963586v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029635885.1_ASM2963588v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029636765.1_ASM2963676v1","48","-:H20",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029636785.1_ASM2963678v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029636805.1_ASM2963680v1","-","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029674645.1_ASM2967464v1","100","O149:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029674705.1_ASM2967470v1","58","-:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029849135.1_ASM2984913v1","767","O8:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029854375.1_ASM2985437v1","58","-:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029854395.1_ASM2985439v1","58","-:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029854475.1_ASM2985447v1","410","-:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029854495.1_ASM2985449v1","410","-:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029854515.1_ASM2985451v1","410","-:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029854535.1_ASM2985453v1","410","-:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029854555.1_ASM2985455v1","410","-:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029854615.1_ASM2985461v1","2179","-:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029855145.1_ASM2985514v1","1193","O75:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029855165.1_ASM2985516v1","744","O89:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029909715.1_ASM2990971v1","410","-:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029916805.1_ASM2991680v1","7366","O184:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029916845.1_ASM2991684v1","206","O110:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029962285.1_ASM2996228v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_029962405.1_ASM2996240v1","12","O4:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029962425.1_ASM2996242v1","12","O4:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029962445.1_ASM2996244v1","12","O4:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029987615.1_ASM2998761v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029987755.1_ASM2998775v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029987875.1_ASM2998787v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029987955.1_ASM2998795v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029988575.1_ASM2998857v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029988835.1_ASM2998883v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029989065.1_ASM2998906v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029989245.1_ASM2998924v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029989405.1_ASM2998940v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029989625.1_ASM2998962v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029989825.1_ASM2998982v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029989965.1_ASM2998996v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029990145.1_ASM2999014v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029990275.1_ASM2999027v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029990355.1_ASM2999035v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029990375.1_ASM2999037v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029990415.1_ASM2999041v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029990455.1_ASM2999045v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029990495.1_ASM2999049v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029990555.1_ASM2999055v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029990605.1_ASM2999060v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029991025.1_ASM2999102v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029991095.1_ASM2999109v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029991165.1_ASM2999116v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029991185.1_ASM2999118v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_029991195.1_ASM2999119v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030007975.1_ASM3000797v1","137","O145:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030012585.1_ASM3001258v1","167","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030012625.1_ASM3001262v1","10","O2:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030012645.1_ASM3001264v1","10","O2:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030012665.1_ASM3001266v1","10","O141:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030012745.1_ASM3001274v1","10","O2:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030012765.1_ASM3001276v1","744","O89:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030012785.1_ASM3001278v1","114","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013005.1_ASM3001300v1","2074","O163:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013025.1_ASM3001302v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013045.1_ASM3001304v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013085.1_ASM3001308v1","58","O9:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013105.1_ASM3001310v1","5786","O141:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013125.1_ASM3001312v1","744","O89:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013145.1_ASM3001314v1","101","O58:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013165.1_ASM3001316v1","100","O138:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013185.1_ASM3001318v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013205.1_ASM3001320v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013225.1_ASM3001322v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013245.1_ASM3001324v1","993","O100:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013265.1_ASM3001326v1","5786","O141:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013305.1_ASM3001330v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013325.1_ASM3001332v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013345.1_ASM3001334v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013365.1_ASM3001336v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013385.1_ASM3001338v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013435.1_ASM3001343v1","100","O149:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013455.1_ASM3001345v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013475.1_ASM3001347v1","90","O149:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013495.1_ASM3001349v1","993","O100:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013575.1_ASM3001357v1","772","-:H37",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013595.1_ASM3001359v1","42","O147:H14",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013675.1_ASM3001367v1","10","O120:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013715.1_ASM3001371v1","10","O120:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013735.1_ASM3001373v1","90","O8:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013755.1_ASM3001375v1","10","O2:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013785.1_ASM3001378v1","-","O23:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013825.1_ASM3001382v1","772","-:H37",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013845.1_ASM3001384v1","-","O8:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030013865.1_ASM3001386v1","772","-:H37",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030028135.1_ASM3002813v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030028155.1_ASM3002815v1","-","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030028175.1_ASM3002817v1","-","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030028195.1_ASM3002819v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030028215.1_ASM3002821v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030035525.1_ASM3003552v1","127","O6:H31",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030035545.1_ASM3003554v1","625","O6:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030035565.1_ASM3003556v1","625","O6:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030036655.1_ASM3003665v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030036675.1_ASM3003667v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030036695.1_ASM3003669v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030036715.1_ASM3003671v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030036755.1_ASM3003675v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030036775.1_ASM3003677v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030036795.1_ASM3003679v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030036835.1_ASM3003683v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030036855.1_ASM3003685v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030036875.1_ASM3003687v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030036895.1_ASM3003689v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030036925.1_ASM3003692v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030037135.1_ASM3003713v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030037255.1_ASM3003725v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030037445.1_ASM3003744v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030037615.1_ASM3003761v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030037835.1_ASM3003783v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030037975.1_ASM3003797v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030038515.1_ASM3003851v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030038665.1_ASM3003866v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030038915.1_ASM3003891v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030039075.1_ASM3003907v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030039225.1_ASM3003922v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030039325.1_ASM3003932v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030039345.1_ASM3003934v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030039375.1_ASM3003937v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030039395.1_ASM3003939v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030039425.1_ASM3003942v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030053855.1_ASM3005385v1","167","O89:H17",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030063885.1_ASM3006388v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030142205.1_ASM3014220v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030142245.1_ASM3014224v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030142335.1_ASM3014233v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030142415.1_ASM3014241v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030142475.1_ASM3014247v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030161935.2_ASM3016193v2","4204","O6:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030162015.2_ASM3016201v2","10","O9:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030162035.2_ASM3016203v2","5229","O48:H34",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030162075.2_ASM3016207v2","5229","O48:H34",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030162155.2_ASM3016215v2","5044","O117/O107:H12",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030162175.2_ASM3016217v2","-","O78:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030162195.2_ASM3016219v2","-","O89:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030166495.1_ASM3016649v1","-","O120:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030166515.1_ASM3016651v1","1249","O157:H14",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030166535.1_ASM3016653v1","155","-:H34",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030168675.1_ASM3016867v1","2179","O9:H20",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030168695.1_ASM3016869v1","-","O103:H27",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030168715.1_ASM3016871v1","746","-:H37",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030168735.1_ASM3016873v1","1011","O51:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030168755.1_ASM3016875v1","3288","-:H38",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030169195.1_ASM3016919v1","1771","-:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030169335.1_ASM3016933v1","1771","-:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030169475.1_ASM3016947v1","206","O124:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030169635.1_ASM3016963v1","1011","O11:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030273345.1_ASM3027334v1","410","O8:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030285485.1_ASM3028548v1","388","O149:H2",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030285505.1_ASM3028550v1","1257","O8:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030285525.1_ASM3028552v1","1011","O11:H51",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030285545.1_ASM3028554v1","-","O103:H2",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030285565.1_ASM3028556v1","58","O9:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030285585.1_ASM3028558v1","12673","O86:H11",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030285605.1_ASM3028560v1","-","O6:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030295055.1_ASM3029505v1","48","O88:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030295075.1_ASM3029507v1","6753","O113:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030295485.1_ASM3029548v1","205","O108:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030295505.1_ASM3029550v1","679","O163:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030295525.1_ASM3029552v1","223","O113:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030295545.1_ASM3029554v1","847","O108:H2",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030295585.1_ASM3029558v1","223","O113:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030295605.1_ASM3029560v1","657","O183:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030295625.1_ASM3029562v1","156","-:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030295645.1_ASM3029564v1","6490","O74:H20",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030296095.1_ASM3029609v1","10","O35:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030296115.1_ASM3029611v1","-","O148:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030296155.1_ASM3029615v1","101","O149:H31",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030296175.1_ASM3029617v1","648","O83:H42",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030296195.1_ASM3029619v1","101","O29:H12",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030296215.1_ASM3029621v1","1638","O60:H38",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030296235.1_ASM3029623v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030296255.1_ASM3029625v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030296275.1_ASM3029627v1","1","O139:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030296295.1_ASM3029629v1","165","O51:H26",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030297395.1_ASM3029739v1","795","O76:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030316195.1_ASM3031619v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030344975.1_ASM3034497v1","80","O7:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030345415.1_ASM3034541v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030345435.1_ASM3034543v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030345455.1_ASM3034545v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030345475.1_ASM3034547v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030345495.1_ASM3034549v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030345515.1_ASM3034551v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030345535.1_ASM3034553v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030345555.1_ASM3034555v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030345575.1_ASM3034557v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030345595.1_ASM3034559v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030345615.1_ASM3034561v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030345635.1_ASM3034563v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030346995.2_ASM3034699v2","-","O78:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030347015.1_ASM3034701v1","11749","O78:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030347035.1_ASM3034703v1","369","O78:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_030347055.1_ASM3034705v1","155","O78:H51",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
